Species,Taxon ID
Clostridium phage phiSM101,396359
Carlito syrichta,1868482
Saprospiraceae bacterium,2982025
Myotis lucifugus,384942
Synechococcus sp. CBW1108,1353147
Drosophila willistoni,7260
Nicotiana sylvestris,4096
Tropilaelaps mercedesae,418985
Clostridium botulinum B1 str. Okra,498213
Mycobacterium tuberculosis CDC1551,83331
Batrachochytrium dendrobatidis JEL423,403673
Nyssomyia neivai,330878
Dromaius novaehollandiae,8790
Totoaba macdonaldi,245095
Rhizopogon vinicolor AM-OR11-026,1314800
Halobacteriales archaeon QH_10_67_13,1919148
Rhizobium etli CFN 42,347834
Aspergillus udagawae,91492
Bombyx mori,7091
Paeniclostridium sordellii 8483,1172204
Pantoea ananatis AJ13355,932677
Acanthocheilonema viteae,6277
Oscillatoriales cyanobacterium CG2_30_44_21,1805292
Loxodonta africana,169825
Poecilia latipinna,48699
Cadophora sp. DSE1049,1485229
Drosophila simulans,7240
Nitrobacter sp. Nb-311A,314253
Anabaena sp. L-31,29412
Graphocephala atropunctata,36148
Notamacropus eugenii,1960642
Gymnopus androsaceus JB14,1447944
Desulforamulus reducens MI-1,349161
Geobacter sulfurreducens PCA,243231
Serratia liquefaciens FK01,1460083
Candidatus Rokubacteria bacterium,221106
Carassius auratus,564874
Candida albicans SC5314,237561
Nephroselmis olivacea,31312
Gymnorhina tibicen,1269803
Marinomonas sp. MWYL1,400668
Listeria monocytogenes serotype 4b str. CLIP 80459,568819
Pelodiscus sinensis,13735
Smittium culicis,133412
Candida albicans,237561
Syntrophorhabdus sp. PtaB.Bin047,1811700
Asarcornis scutulata,75869
Rippkaea orientalis PCC 8801,2546366
freshwater metagenome,449393
Serratia proteamaculans 568,399741
Trichosurus vulpecula,9337
Tolypothrix bouteillei VB521301,1479485
Echinostoma caproni,27848
Petrotoga mobilis SJ95,403833
Myxococcus fulvus,483219
Helicobacter pylori 26695,85962
Candidatus Sulfurimonas baltica,2740404
Staphylococcus aureus subsp. aureus USA300,367830
Chromobacterium violaceum ATCC 12472,243365
Copaifera langsdorffii,280048
Rhodopirellula pilleata,2714738
Hydrophis hardwickii,8781
Suricata suricatta,37032
Rhodosorus marinus,101924
Brassica cretica,69181
Oreochromis aureus,47969
Nothobranchius rachovii,451742
Nephrops norvegicus,6829
Gonapodya prolifera JEL478,1344416
Neolamprologus brichardi,32507
Trypanosoma brucei brucei,5702
Burkholderia orbicola MC0-3,406425
labyrinthulid quahog parasite QPX,96639
Nitrosococcus oceani ATCC 19707,323261
Xanthomonas campestris pv. campestris,340
Rhizopus stolonifer,4846
Coffea canephora,213309
Fusobacterium varium,856
Pseudomonas anguilliseptica,53406
Ferruginibacter sp.,1310416
Planktothrix tepida PCC 9214,1678309
Bdellovibrionales bacterium,2053517
Hirundo rustica rustica,333673
Halicephalobus sp. NKZ332,2598192
Komagataella phaffii,644223
Buchnera aphidicola str. APS (Acyrthosiphon pisum),107806
Gracilibacillus salitolerans,2663022
Burkholderia mallei ATCC 23344,243160
Streptomyces sp.,1535768
Ephydatia fluviatilis,31330
Salmonella enterica,596
Bacillus subtilis,224308
Lemur catta,9447
Candidatus Poseidoniales archaeon,2163009
Fervidicoccus fontis,1163730
Pterula gracilis,1884261
Streptomyces jumonjinensis,1945
candidate division CPR2 bacterium GW2011_GWC2_39_10,1618345
Halomonas sp. es.049,1761788
Terrabacteria group bacterium ANGP1,2569760
Osmerus mordax,476922
Acidomonas methanolica NBRC 104435,1231351
Photobacterium profundum SS9,298386
Buphagus erythrorhynchus,245048
Sebastiscus marmoratus,41446
Charonia tritonis,1960912
Alkalilimnicola ehrlichii MLHE-1,187272
Porphyridium purpureum,35688
Rickettsiales bacterium,366546
Nodularia spumigena,2301359
Acidovorax delafieldii 2AN,573060
Gossypium arboreum,29729
Ricinus communis,3988
Cyanophora paradoxa,2762
Ananas comosus,4615
Chroococcidiopsis sp. CCALA 051,869949
Streptomyces wuyuanensis,1196353
Pseudoclavibacter sp. RFBG4,2080575
Talaromyces islandicus,28573
Onchocerca volvulus,6282
uncultured bacterium,1229255
Vanilla planifolia,51239
Rhodomonas salina,52970
Monkeypox virus,10244
Drysdalia coronoides,66186
Rhodococcus pyridinivorans,1041510
marine sediment metagenome,412755
Planococcus dechangensis,1176255
Salinomyces thailandica,706561
Helicobacter pylori J99,85963
Panthera leo,9689
Klebsiella pneumoniae,507522
Zygnema circumcarinatum,35869
Oleidesulfovibrio alaskensis G20,207559
Schizosaccharomyces pombe 972h-,284812
Clostridium perfringens,289380
Meleagris gallopavo,9103
Cryptophis nigrescens,292442
Bradyrhizobium sp. 6(2017),1197460
Burkholderia ambifaria MC40-6,398577
Oceanospirillaceae bacterium,1641715
Tilletia walkeri,117179
Taeniopygia guttata,59729
Eubacterium hominis,2764325
Tropheryma whipplei str. Twist,203267
Entamoeba dispar SAW760,370354
Anopheles minimus,1465751
Hydrophis torquatus,747462
Calidithermus roseus,1644118
Bacteroides fragilis NCTC 9343,272559
Takifugu rubripes,47663
Aquifex aeolicus VF5,224324
Novosphingobium aromaticivorans DSM 12444,279238
Aggregatibacter aphrophilus,634176
Mesomycoplasma hyopneumoniae 7448,262722
Clostridium sp. AM33-3,2292304
Hymenobacter polaris,2682546
Ornithinibacillus sp.,981383
Caulobacter vibrioides CB15,190650
Rhododendron simsii,118357
Saguinus imperator,9491
Parageobacillus genomosp. 1,1295642
Pelotomaculum thermopropionicum SI,370438
Dinothrombium tinctorium,1965070
Amphiprion percula,161767
Aedes aegypti,1424507
Lotus japonicus,34305
Lacticaseibacillus paracasei ATCC 334,321967
Mycobacterium leprae Br4923,561304
Ensete ventricosum,4639
Parabacteroides distasonis ATCC 8503,435591
Ascodesmis nigricans,341454
Trichopodus trichopterus,96903
Thermochaetoides thermophila,209285
Bungarus multicinctus,102640
Candidatus Accumulibacter sp.,3092585
Cucurbita maxima,3661
Schistosoma bovis,632765
Bungarus caeruleus,132961
Symbiodinium pilosum,2952
Timema shepardi,629360
Arion vulgaris,1028688
Phtheirospermum japonicum,374723
Candidatus Bathyarchaeota archaeon ex4484_205,2012510
Deinococcus wulumuqiensis,980427
Prochlorococcus marinus str. NATL2A,59920
Variovorax paradoxus S110,543728
Carollia perspicillata,40233
archaeon CG10_big_fil_rev_8_21_14_0_10_43_11,1975556
Candidatus Rokubacteria bacterium GWA2_70_23,1802095
Rhizoctonia solani AG-1 IA,983506
Candidatus Berkelbacteria bacterium Licking1014_85,2017148
Vigna radiata,157791
Cambarus hubrichti,61487
Campylobacter jejuni RM1221,195099
Pipistrellus kuhlii,59472
Pseudomonas putida S16,1042876
Gammaproteobacteria bacterium CG22_combo_CG10-13_8_21_14_all_40_8,1974025
Kitasatospora aureofaciens,1894
Aythya fuligula,219594
Microbotryum intermedium,269621
Neoceratodus forsteri,7892
Paracoccus sp. SSG05,1130061
Butyricimonas faecalis,2093856
Limosilactobacillus fermentum F-6,767453
Plesiocystis pacifica SIR-1,391625
Didymodactylos carnosus,1234261
Nycticryphes semicollaris,227226
Burkholderia cenocepacia HI2424,331272
Ralstonia solanacearum GMI1000,267608
Streptomyces sviceus ATCC 29083,463191
Leifsonia xyli subsp. xyli str. CTCB07,281090
Murid gammaherpesvirus 4,33708
Rhodospirillum rubrum ATCC 11170,269796
Heloderma suspectum,709964
Mycoplasmopsis canis UFG4,1131455
Hibiscus syriacus,106335
Candidatus Pelagibacter ubique HTCC1062,335992
Nitrobacter winogradskyi Nb-255,323098
Phytomonospora endophytica,714109
Cajanus cajan,3821
Hepatitis C virus (isolate Con1),333284
Saccharomyces cerevisiae JAY291,574961
Halorhodospira halophila SL1,349124
Bimuria novae-zelandiae CBS 107.79,147497
Human herpesvirus 5 strain Merlin,295027
,552860
Corynebacterium diphtheriae NCTC 13129,257309
Ewingella americana,910964
Methylococcaceae bacterium NSM2-1,1917482
Arachis hypogaea,1897422
Notophthalmus viridescens,8316
Labrus bergylta,56723
Nitrosospira multiformis ATCC 25196,323848
Chrysochloris asiatica,185453
Pseudomonas syringae pv. actinidiae ICMP 19096,1194405
Cryptosporidium muris RN66,441375
Ursus americanus,62692
Bacillus mycoides KBAB4,315730
Coemansia reversa NRRL 1564,763665
Actinopolyspora halophila,1089546
Chlamydia muridarum str. Nigg,243161
Naja melanoleuca,8643
Naja oxiana,8657
Burkholderia orbicola AU 1054,331271
Glaucidium brasilianum,78217
Nipponia nippon,128390
Danionella translucida,623744
Leptolyngbya foveolarum,337898
Larus argentatus,666873
Platichthys stellatus,3041670
Daldinia sp. EC12,1001832
Amphibalanus amphitrite,1232801
Equus hemionus,1618199
Collinsella aerofaciens,411903
Pseudomonas putida,160488
Candidatus Moranbacteria bacterium GW2011_GWE2_36_40,1618713
Planctomicrobium piriforme,1576369
Chromera velia CCMP2878,1169474
Stylophora pistillata,50429
Myxococcus xanthus,675543
Cladonema pacificum,499903
Crocosphaera watsonii WH 0401,555881
Shewanella frigidimarina NCIMB 400,318167
Parasponia andersonii,3476
Saccharomyces cerevisiae YJM789,307796
Lates calcarifer,8187
hydrothermal vent metagenome,652676
Nitratiruptor sp. SB155-2,387092
Anaerosporomusa subterranea,1794912
Austrelaps superbus,29156
Timema tahoe,61484
Streptococcus thermophilus LMG 18311,264199
Leptotrichia buccalis C-1013-b,523794
Methanosarcina mazei,192952
Hyloscirtus phyllognathus,371702
Flavobacteriales bacterium,1629721
Toxoplasma gondii ME49,508771
Limosa lapponica baueri,1758121
Halothermothrix orenii H 168,373903
Acipenser ruthenus,7906
Bos mutus,72004
Streptomyces sp. CB03234,1703937
Notechis scutatus scutatus,70142
Trichoderma virens Gv29-8,413071
Clytia hemisphaerica,252671
Anabas testudineus,64144
Aegilops tauschii subsp. strangulata,200361
Hymenolepis diminuta,6216
Escherichia coli,595495
Polynucleobacter necessarius STIR1,452638
Erpornis zantholeuca,1112836
Lactobacillus gasseri ATCC 33323 = JCM 1131,324831
Paenibacillus sp. VKM B-2647,1590651
Polaromonas naphthalenivorans CJ2,365044
Sardinops melanostictus,41697
Phyllobacterium sophorae,2184020
Gossypium trilobum,34281
Camellia sinensis,4442
Ancylostoma ceylanicum,53326
Achromobacter pestifer,1353889
Engraulis japonicus,42892
Callosobruchus maculatus,64391
Spirochaetae bacterium HGW-Spirochaetae-1,2013832
Micromonas pusilla,38833
Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,321314
Diabrotica virgifera virgifera,50390
Lactobacillus paragasseri,2107999
Rhizomicrobium sp. SCGC AG-212-E05,1799655
Comamonadaceae bacterium CG12_big_fil_rev_8_21_14_0_65_59_15,1973952
Bradyrhizobium sp. ORS 278,114615
Pontiella desulfatans,2750659
Streptococcus pyogenes MGAS10750,370554
Schistosoma rodhaini,6188
Verticillium longisporum,100787
Saimiri sciureus,190117
Acanthochromis polyacanthus,80966
Thermoprotei archaeon,2250277
Struthio camelus australis,441894
Ornithodoros erraticus,265619
Mycobacterium sp. AZCC_0083,2735882
Piaractus brachypomus,42529
Scenedesmus sp. NREL 46B-D3,2650976
Ovibos moschatus,37177
Shewanella putrefaciens CN-32,319224
Naja anchietae,263737
Prevotella baroniae F0067,1115809
Dibothriocephalus latus,60516
Prochlorococcus marinus subsp. marinus str. CCMP1375,167539
Rhodoferax sp.,1793939
Butyrivibrio sp. ob235,1761780
Kalanchoe fedtschenkoi,63787
Anoxybacillus sp. LM18-11,1070988
Rhodospirillum rubrum,1036743
Influenza A virus (A/Puerto Rico/8/1934(H1N1)),211044
Boana cinerascens,2364978
Enterospora canceri,1081671
bacterium 1xD42-87,2320113
Acanthisitta chloris,57068
Corynebacterium efficiens YS-314,196164
Nymphaea colorata,210225
Irena cyanogastra,175120
Colwellia psychrerythraea 34H,167879
Influenza B virus (B/Memphis/13/2003),1601067
Candidatus Methanomethylophilaceae archaeon,2517205
Aquifex sp.,313370
Dermacoccus sp. 147Ba,2510111
Malassezia sympodialis ATCC 42132,1230383
Chromobacterium haemolyticum,1121283
Ursus arctos horribilis,116960
Eubacterium barkeri,1528
Protopterus dolloi,27779
Saccharomyces cerevisiae W303,580240
Nomascus leucogenys,61853
Verminephrobacter eiseniae EF01-2,391735
Streptomyces rugosporus,295838
Desulfovibrio vulgaris str. Hildenborough,882
Tetrabaena socialis,47790
Human gammaherpesvirus 8,37296
Lophiostoma macrostomum CBS 122681,1314788
Streptococcus pyogenes MGAS8232,186103
Trypanosoma brucei gambiense DAL972,679716
Pyrococcus horikoshii OT3,70601
Rhadina sibilatrix,2585818
Syphacia muris,451379
Streptomyces koganeiensis,1684313
Ralstonia pickettii 12J,402626
Salmonella enterica subsp. enterica serovar Typhimurium,216597
Enterococcus asini,1158606
Alteromonadaceae bacterium,484495
bacterium,2052151
Aphis glycines,307491
Chromobacterium violaceum,243365
Cyanothece sp. PCC 7425,395961
Panthera tigris altaica,74533
Virgibacillus sp. SK37,403957
Paraclostridium sordellii ATCC 9714,1292036
Rhizophagus irregularis,1432141
Pseudonocardia sp. SCN 72-86,1660131
Candidatus Aminicenantes bacterium,2052149
Columbina picui,115618
Marmota monax,9995
Heliothis virescens,7102
Ruminococcaceae bacterium KH2T8,1855400
Planococcus salinus,1848460
Nocardioides caeni,574700
Mionectes macconnelli,254557
Candidatus Micrarchaeota archaeon CG11_big_fil_rev_8_21_14_0_20_47_5,1974421
Fusarium nygamai,2778374
Gloeocapsopsis dulcis AAB1 = 1H9,1433147
Miopithecus talapoin,36231
Verrucomicrobia bacterium ADurb.Bin006,1852924
Oenanthe oenanthe,486696
Mycoplasmoides pneumoniae M129,272634
Heliomicrobium modesticaldum Ice1,498761
Ahrensia sp.,1514904
Mesorhizobium metallidurans STM 2683,1297569
Shigella flexneri 5 str. 8401,373384
Erythrobacter sp. YT30,1735012
Allenopithecus nigroviridis,54135
Mariprofundus sp. EBB-1,2650971
Desulfosporosinus sp.,79209
Anas platyrhynchos,8840
Vibrio tasmaniensis,212663
Thermococcus kodakarensis,69014
Neobodo designis,312471
Human immunodeficiency virus type 1 BH10,11678
Mytilus coruscus,42192
Lethenteron camtschaticum,980415
Egretta garzetta,188379
Picea sitchensis,3332
Cardinalis cardinalis,98964
Fusarium pseudograminearum,1028729
Hordeum vulgare,112509
Periophthalmus magnuspinnatus,409849
Euplotes harpa,151035
Cottoperca gobio,56716
Haemophilus paraphrohaemolyticus HK411,1095743
Moniliophthora roreri MCA 2997,1381753
Cupriavidus taiwanensis,977880
Pseudothermotoga lettingae TMO,416591
Prochlorococcus marinus str. MIT 9303,59922
Gonatodes albogularis,460622
Ustilago bromivora,307758
Mola mola,445511
Gigaspora rosea,44941
Salmo trutta fario,99804
Methanosarcinales archaeon,2250255
Rutstroemia sp. NJR-2017a BBW,2070414
Proboscia inermis,420281
Dinoponera quadriceps,609295
Hydrogenivirga sp. 128-5-R1-1,392423
Salvia splendens,180675
Dendrobium catenatum,906689
Parcubacteria group bacterium GW2011_GWA2_56_21,1618859
Methanothermobacter thermautotrophicus str. Delta H,187420
Stagonospora sp. SRC1lsM3a,765868
Ateles fusciceps,9508
Clostridium beijerinckii NCIMB 8052,290402
Acetivibrio thermocellus ATCC 27405,203119
Sinorhizobium fredii CCBAU 83666,1128334
Phocaeicola plebeius DSM 17135,484018
Caldivirga maquilingensis IC-167,397948
Chlorobaculum tepidum TLS,194439
Atractaspis microlepidota microlepidota,172021
Mycobacterium leprae TN,272631
Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920,1224742
Alopecoenas beccarii,262131
Eptatretus atami,50612
Laticauda colubrina,8628
Neomonachus schauinslandi,29088
Anas platyrhynchos platyrhynchos,8840
Pseudomonas aeruginosa,983918
Sphingobacterium sp.,1346330
Nothobranchius kuhntae,321403
Equus przewalskii,9798
Talaromyces amestolkiae,1196081
Saccharolobus solfataricus P2,273057
Hortaea werneckii,91943
Eurypyga helias,54383
Papilio xuthus,66420
Rhodococcus erythropolis PR4,234621
Pleomassaria siparia CBS 279.74,1314801
Anisakis simplex,1048626
Arthrobacter sp. SLBN-53,2768412
Chaetomium globosum CBS 148.51,306901
Bactrocera latifrons,174628
Dissostichus mawsoni,36200
Elizabethkingia sp. 2-6,2575699
Sorangium cellulosum,448385
Escherichia coli CFT073,199310
Desulfuromonas sp.,1603606
Mammalian orthoreovirus 3,10886
Cellulomonas fimi,590998
Ligilactobacillus salivarius UCC118,362948
Daedalea quercina L-15889,1314783
Mucuna pruriens,157652
Trichinella zimbabwensis,268475
Lysinibacillus sp. JNUCC-51,2792479
Botrytis cinerea B05.10,332648
Planctomycetota bacterium,2026780
Actinomadura geliboluensis,882440
Polyprion oxygeneios,334912
Triakis scyllium,30494
Anncaliia algerae PRA339,1288291
Nandina domestica,41776
Anopheles culicifacies,139723
Chelonia mydas,8469
Phytophthora kernoviae,325452
Salinispora tropica CNB-440,369723
Conus ermineus,55423
Colinus virginianus,3036675
Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_48_18,1802408
Trachypithecus francoisi,662738
Ignavibacteria bacterium,1798428
Polytomella magna,353565
Platysternon megacephalum,1419815
Alteromonas naphthalenivorans,715451
Rickettsia prowazekii str. Madrid E,272947
Phytophthora rubi,129364
Betaproteobacteria bacterium,1339254
Corethrella appendiculata,1370023
Hyaloscypha hepaticicola,2082293
Candidatus Cloacimonetes bacterium 4572_55,2030808
Sphodromantis sp.,27433
Drosophila busckii,30019
Cotylopus rubripinnis,1001955
Pythium insidiosum,114742
Quadrisphaera sp. DSM 44207,1881057
Schizaphis graminum,13262
Fukomys damarensis,885580
Heterocephalus glaber,10181
Vidua chalybeata,81927
Drosophila ananassae,7217
Amblyomma aureolatum,187763
Tauraco erythrolophus,121530
Corythaeola cristata,103954
Anopheles coluzzii,2081834
Streptomyces sp. BK215,2512127
Timema cristinae,61476
Candidatus Phytoplasma mali AT,482235
Thiothrix fructosivorans,111770
Trogon melanurus,56311
Rangifer tarandus,3082113
Roseburia sp. AM59-24XD,2293138
Cytophagales bacterium CG18_big_fil_WC_8_21_14_2_50_42_9,1973956
Xanthomonas oryzae pv. oryzae PXO99A,360094
Gracilaria tenuistipitata var. liui,285951
Prevotella shahii DSM 15611 = JCM 12083,1122991
Pseudogymnoascus sp. VKM F-3775,1420901
Shewanella pealeana ATCC 700345,398579
Rostratula benghalensis,118793
Arundo donax,35708
Cyprinus carpio,630221
Mycobacterium tuberculosis H37Rv,83332
Flammeovirga aprica JL-4,694437
Naja haje haje,8642
Meara stichopi,84115
Pseudocercospora fijiensis CIRAD86,383855
Neurospora crassa OR74A,367110
Schistosoma mattheei,174752
Biomphalaria glabrata,6526
Oncorhynchus sp.,8025
Scleropages formosus,113540
Anaerotruncus sp. G3(2012),1235835
Glossina morsitans morsitans,37546
Methanospirillum hungatei JF-1,323259
Hemiselmis tepida,464990
Myxococcus fulvus HW-1,483219
Saccharomyces cerevisiae RM11-1a,285006
Musca domestica,7370
Phaseolus vulgaris,3885
Rhizoclosmatium globosum,329046
Cephalophus jentinki,129225
Octodon degus,10160
Bacteroidales bacterium,641636
Amazona aestiva,244060
Cynoglossus semilaevis,244447
Pyrobaculum spherical virus (isolate Yellowstone),654907
Pseudomonas putida GB-1,76869
Thermovibrio ammonificans HB-1,648996
Bifidobacterium longum NCC2705,206672
Microcystis aeruginosa NIES-843,449447
Rhipicephalus zambeziensis,60191
Cisticola juncidis,52622
Dendroctonus ponderosae,77166
Gymnopilus dilepis,231916
Leptolyngbya sp. NIES-3755,1752064
Magnetospirillum caucaseum,1244869
Diploscapter pachys,2018661
Latilactobacillus sakei subsp. sakei 23K,314315
Agelaius phoeniceus,555855
Clostridium kluyveri DSM 555,431943
Flavobacterium sp. 140616W15,2478552
Nitrolancea hollandica Lb,1129897
Ancylostoma caninum,29170
Caloenas nicobarica,187106
Xanthomonas oryzae pv. oryzae MAFF 311018,342109
Penicillium roqueforti FM164,1365484
Desulfurococcaceae archaeon,2184738
Tequatrovirus T4,10665
Myxobolus squamalis,59785
filamentous cyanobacterium CCP2,2107700
Naja naja,35670
Crateva unilocularis,2759425
Brassica oleracea var. oleracea,109376
Pyrobaculum spherical virus,654907
Serpula lacrymans var. lacrymans S7.9,578457
Candidatus Nitrosotenuis sp.,2507556
Heterobasidion irregulare TC 32-1,747525
Chlorocebus tantalus,60712
Piaractus mesopotamicus,42528
Cytomegalovirus,79700
Pycnococcus provasolii,41880
Betta splendens,158456
Halobacteriovoraceae bacterium,2026745
Dyella monticola,1927958
Saguinus oedipus,9490
Bordetella parapertussis 12822,257311
Plasmodium falciparum HB3,137071
Human spumaretrovirus,11963
Sphaeramia orbicularis,375764
Leishmania donovani BPK282A1,981087
Argulus foliaceus,509924
Vibrio vulnificus CMCP6,216895
Marinobacter sp. EVN1,1397532
Levilactobacillus acidifarinae DSM 19394,1423715
Prymnesium polylepis,72548
Halobacterium salinarum NRC-1,64091
Myotis brandtii,2516278
Nasonia vitripennis,7425
Bombus terrestris,1255232
Giardia muris,5742
Myotis davidii,225400
Canavalia lineata,28957
Roseomonas cervicalis ATCC 49957,525371
Ranitomeya imitator,111125
Shewanella sp. W3-18-1,351745
Candidatus Huberarchaeum crystalense,2014257
Leishmania braziliensis,5660
Brachyurophis roperi,1295043
Dendroaspis jamesoni jamesoni,2032609
Rousettus aegyptiacus,77220
Gammaproteobacteria bacterium TMED36,1986762
Angiostrongylus costaricensis,334426
Solenopsis invicta,294369
Plasmodium berghei ANKA,5823
Caballeronia temeraria,1777137
Acinetobacter baylyi ADP1,62977
Corallococcus sp. CA047B,2316729
Bartonella bacilliformis KC583,360095
Gossypium lobatum,34289
Aggregatibacter actinomycetemcomitans RhAA1,1089447
Leiothrix lutea,36275
Lycosa singoriensis,434756
Podarcis muralis,64176
candidate division WOR-1 bacterium RIFOXYB2_FULL_37_13,1802579
Moorella glycerini,55779
Rhinolophus ferrumequinum,59479
Clostridium pasteurianum,1262449
Mico humeralifer,52232
Zalophus californianus,332523
Thermococcus celer,1293037
Bacteroides ovatus,702444
Staphylococcus schleiferi,74707
Perkinsus marinus ATCC 50983,423536
Aleadryas rufinucha,461220
Listeria phage PSA,171618
Nostoc sp. PCC 7120 = FACHB-418,103690
Parasynechococcus marenigrum WH 8102,84588
Fluviicola taffensis DSM 16823,755732
Handroanthus impetiginosus,429701
Squalus acanthias,934694
Burkholderia pseudomallei 1710b,320372
Klebsiella pneumoniae subsp. pneumoniae HS11286,1125630
Candidatus Dependentiae bacterium,2030827
Gossypium davidsonii,34287
Vibrio sp. JCM 19236,1481926
Gambusia affinis,33528
Strongylus vulgaris,40348
Chara vulgaris,55564
Asbolus verrucosus,1661398
Sepia officinalis,6610
Rhizopus azygosporus,86630
Sinorhizobium fredii NGR234,394
Panthera pardus,9691
Hydrogenophilales bacterium 28-61-11,1970529
Branchiostoma floridae,7739
Plecoglossus altivelis,281464
Hydrolagus colliei,7873
Haemonchus placei,6290
Rotaria magnacalcarata,392030
Zymoseptoria tritici ST99CH_3D7,1276538
Chlamydia abortus S26/3,218497
Poecilia reticulata,8081
Steinernema carpocapsae,34508
Panax ginseng,4054
Trypanosoma brucei brucei TREU927,185431
Phormidesmis priestleyi,268141
Bermanella sp. 47_1433_sub80_T6,1856278
Astatotilapia calliptera,8154
Hymenobacter setariae,2594794
Lysinibacillus fusiformis,714961
Bradyrhizobium sp. BTAi1,288000
Larus smithsonianus,243888
Thiobacillus denitrificans ATCC 25259,292415
Zasmidium cellare ATCC 36951,1080233
Smittium mucronatum,133383
Borrelia turicatae 91E135,314724
Wickerhamomyces ciferrii NRRL Y-1031,1206466
Linnemannia elongata AG-77,1314771
Timema bartmani,61472
Austrofundulus limnaeus,52670
Trichinella sp. T8,92180
Nocardia arthritidis,228602
Moesziomyces antarcticus,1151754
Phocaeicola vulgatus ATCC 8482,435590
Coptis chinensis,261450
Listeria monocytogenes,393133
Lingula anatina,7574
Massilia atriviolacea,2495579
Pogona vitticeps,1659215
Dictyostelium discoideum AX4,352472
Strigamia maritima,126957
Cupriavidus taiwanensis LMG 19424,977880
Lysinibacillus sphaericus C3-41,444177
Cutaneotrichosporon oleaginosum,879819
Panicum miliaceum,4540
Planctomycetes bacterium RIFCSPLOWO2_12_38_17,1801946
Dimorphilus gyrociliatus,2664684
Adineta ricciae,249248
Protobothrops flavoviridis,88087
Nyctiprogne leucopyga,382315
Bryobacteraceae bacterium,2212468
Firmicutes bacterium,1947979
Candidatus Gracilibacteria bacterium,2044595
Paenibacillus tianmuensis,624147
Planctomycetes bacterium GWF2_50_10,1801959
Rahnella inusitata,58169
Rhinopithecus roxellana,61622
Pseudozyma flocculosa,84751
Zygosaccharomyces parabailii,1365886
uncultured Rubrobacteraceae bacterium,349277
Pseudonocardiaceae bacterium,234635
Poeciliopsis prolifica,188132
Burkholderia ambifaria AMMD,339670
Penicillium antarcticum,416450
Prunella fulvescens,1979975
Granulibacter bethesdensis CGDNIH1,391165
Pipa pipa,251750
Bacteroides fragilis,295405
Chlorocebus pygerythrus,460674
Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_63_22,1798290
Spirometra erinaceieuropaei,99802
Candidatus Poribacteria bacterium,2026781
Calditrichaeota bacterium,2212469
Lachnoclostridium phytofermentans ISDg,357809
Rhodobacterales bacterium CG_4_9_14_3_um_filter_71_31,1974085
Lamprigera yunnana,370605
Lacticaseibacillus rhamnosus GG,568703
Typhlonectes natans,8456
Gastrophysa atrocyanea,169758
Setophaga kirtlandii,298831
Alligator sinensis,38654
Foot-and-mouth disease virus (strain O1),73482
Olavius algarvensis spirochete endosymbiont,260710
Lentisphaerae bacterium GWF2_50_93,1798574
